,Title,Description,label
132,The 5 most anticipated movies of August 2023,These are the movies that Rotten Tomatoes users can't wait to see in theaters this month.,bluebeetle
127,Indiana Jones loses eye in old age and fans wonder if it'll happen in new movie,"Indiana Jones wears an eye patch in his old age, but Harrison Ford's character still has both intact in the new Dial of Destiny movie's trailers. Nevertheless, will he lose it in his latest adventure?",indianajones
259,Weekend Box Office: BLUE BEETLE Dethrones BARBIE,"Blue Beetle Warner Bros.’ superhero movie debuted in first place with $25.4M, a first place opening but lower than every other recent DC Extended Universe films: -15% below March’s Shazam!: Fury of the Gods – $30.1M -23% below February 2020’s Birds of Prey: $33.0M -3% below 2021’s The Suicide Squad: $26.2M, even though it was",barbie
60,"Bill Maher Blasts ‘Barbie,’ Calls Movie “Preachy, Man-Hating, And A Zombie Lie”","Maher maintains that, ""people who don't go along with zombie lies did not take some red pill - just staying true to CURRENT reality.""",barbie
233,Who is the old lady on the bench in 'Barbie'?,"The ""Barbie"" movie features a touching scene between Barbie (Margot Robbie) and an old lady on a bench. But who is the old lady? It's Ann Roth!",barbie
113,‘Indiana Jones and the Dial of Destiny’ Review: Temple of Dull,James Mangold's entry into the 'Indiana Jones' franchise lacks so much of what made its predecessors special and enduring.,indianajones
101,Is the ‘Mission: Impossible’ Series Due for a Reckoning?,"After an underwhelming box office performance for ""Dead Reckoning,"" Tom Cruise should return to the original ideas of ""Mission: Impossible.""",missionimpossible
105,"‘Sharknado’ Channels ‘Barbie’ as B-Movie Hit Gets New Poster, Trailer Ahead of 10th Anniversary Theatrical Release (Exclusive)",See the Barbie-inspired Sharknado poster as the 2013 SyFy movie hits theaters for the first time.,barbie
207,Irate netizens school Juhi Parmar as actor pens note over ‘inappropriate’ Barbie movie,"Actor Juhi Parmar criticized Greta Gerwig's new Barbie movie for its adult themes, saying the language and content were inappropriate for children. Parmar walked out of the theater with her 10-year-old daughter within minutes of the film starting. Other parents also left with their children.",barbie
81,Xbox's new Ninja Turtles controllers smell just like pizza,Microsoft is giving away pizza-scented Xbox controllers to promote Teenage Mutant Ninja Turtles: Mutant Mayhem.,tmnt
28,‘Blue Beetle’ Lands At $25M+; ‘Strays’ Goes To The Dogs With $8M+ – Sunday Box Office Update,Blue Beetle is expected to take the weekend with $28M-$32M and knock off Barbie in its fifth weekend in the No. 1 spot.,bluebeetle
